노원구,2019-02,203
노원구,2019-03,233
노원구,2019-04,225
노원구,2019-05,219
노원구,2019-06,191
노원구,2019-07,244
노원구,2019-08,201
노원구,2019-09,215
노원구,2019-10,229
노원구,2019-11,201
노원구,2019-12,187
노원구,2019-계,"2,604"
노원구,2020-01,231
노원구,2020-02,192
노원구,2020-03,199
노원구,2020-04,190
노원구,2020-05,187
노원구,2020-06,173
노원구,2020-07,192
노원구,2020-08,180
노원구,2020-09,179
노원구,2020-10,187
노원구,2020-11,165
노원구,2020-12,177
노원구,2020-계,"2,252"
노원구,2021-01,171
노원구,2021-02,173
노원구,2021-03,230
노원구,2021-04,197
노원구,2021-05,169
노원구,2021-06,179
노원구,2021-07,241
노원구,2021-08,187
노원구,2021-09,180
노원구,2021-10,167
노원구,2021-11,167
노원구,2021-12,170
노원구,2021-계,2231
도봉구,2017-01,178
도봉구,2017-02,170
도봉구,2017-03,187
도봉구,2017-04,157
도봉구,2017-05,159
도봉구,2017-06,160
도봉구,2017-07,141
도봉구,2017-08,177
도봉구,2017-09,148
도봉구,2017-10,152
도봉구,2017-11,126
도봉구,2017-12,151
도봉구,2017-계,"1,906"
도봉구,2018-01,160
도봉구,2018-02,131
도봉구,2018-03,136
도봉구,2018-04,153
도봉구,2018-05,132
도봉구,2018-06,142
도봉구,2018-07,140
도봉구,2018-08,157
도봉구,2018-09,129
도봉구,2018-10,141
도봉구,2018-11,150
도봉구,2018-12,136
도봉구,2018-계,"1,707"
도봉구,2019-01,130
도봉구,2019-02,124
도봉구,2019-03,117
도봉구,2019-04,137
도봉구,2019-05,99
도봉구,2019-06,151
도봉구,2019-07,105
도봉구,2019-08,133
도봉구,2019-09,124
도봉구,2019-10,148
도봉구,2019-11,111
도봉구,2019-12,104
도봉구,2019-계,"1,483"
도봉구,2020-01,121
도봉구,2020-02,98
도봉구,2020-03,111
도봉구,2020-04,110
도봉구,2020-05,113
도봉구,2020-06,110
도봉구,2020-07,94
도봉구,2020-08,92
도봉구,2020-09,108
도봉구,2020-10,92
도봉구,2020-11,80
도봉구,2020-12,89
도봉구,2020-계,"1,218"
도봉구,2021-01,83
도봉구,2021-02,83
도봉구,2021-03,101
도봉구,2021-04,93
도봉구,2021-05,116
도봉구,2021-06,92
도봉구,2021-07,109
도봉구,2021-08,103
도봉구,2021-09,109
도봉구,2021-10,82
도봉구,2021-11,98
도봉구,2021-12,72
도봉구,2021-계,1141
동대문구,2017-01,202
동대문구,2017-02,194
동대문구,2017-03,206
동대문구,2017-04,180
동대문구,2017-05,153
동대문구,2017-06,166
동대문구,2017-07,178
동대문구,2017-08,166
동대문구,2017-09,179
동대문구,2017-10,170
동대문구,2017-11,186
동대문구,2017-12,137
동대문구,2017-계,"2,117"
동대문구,2018-01,176
동대문구,2018-02,143
동대문구,2018-03,169
동대문구,2018-04,169
동대문구,2018-05,138
동대문구,2018-06,141
동대문구,2018-07,185
동대문구,2018-08,153
동대문구,2018-09,181
동대문구,2018-10,141
동대문구,2018-11,142
동대문구,2018-12,148
동대문구,2018-계,"1,886"
동대문구,2019-01,170
동대문구,2019-02,148
동대문구,2019-03,162
